ASIN,Title,Manufacturer,Product_Dimensions_inches,Batteries,Date_First_Available,Item_Weight,Is_Discontinued_By_Manufacturer,Item_model_number,seller,Seller_rank,Seller_category
B07TQM2FTD,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Black",LETSCOM,6.1 x 5.6 x 3.4 ,1 Lithium ion batteries required. (included),2019-06-26,1.376,,H10,DFWL US,16,Over-EarHeadphones
B01EF5DBZ6,AILIHEN C8 Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Chromebook Smartphones Laptop Computer PC Mp3/4 (Black/Blue),AILIHEN,7.68 x 3.15 x 6.69 ,,2016-04-18,0.01664,No,C8,MUJI SHOP,60,On-EarHeadphones
B07NM3RSRQ,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",Anker,7.68 x 7.09 x 3.07 ,1 Lithium Polymer batteries required. (included),2019-03-21,1.488,,AK-A3025011,AnkerDirect,3,Over-EarHeadphones
B087JWTWF9,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Turquoise/Gray)",ARTIX,9.65 x 8.9 x 3.62 ,,2020-01-03,1.632,,,7thContinent,36,On-EarHeadphones
B083P1TSK7,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Pearl Pink)",LORELEI,6.75 x 2.96 x 7.08 ,,2020-01-09,1.168,,X6,lorelei,231,Over-EarHeadphones
B01NAJGGA2,"Mpow 059 Bluetooth Headphones Over Ear, HiFi Stereo Wireless Headset, Built-in Microphone, Soft Memory-Protein Earmuffs, Foldable, with Wired Mode, for Online Class, Home Office, PC, Cell Phones, TV",Mpow,5.91 x 5.31 x 3.19 ,1 Lithium ion batteries required.,2016-12-15,1.712,No,BH059A,Topyo Pro,23,Over-EarHeadphones
B07V51PZ4M,"A9 Headphones Earphones Earbuds Earphones, Noise Islating, High Definition, Stereo for Samsung, iPhone,iPad, iPod and Mp3 Players (Mixed Color 4 Pairs)",Dongguanqichendianzikejiyouxiangongsi,6.3 x 3.15 x 0.67 ,,2019-07-14,0.3824,,,YNR.,1051,Earbud
B07J5X68B2,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",Sonitum,8.4 x 8.2 x 2.7 ,,2018-10-08,1.312,No,M-35,Rely On Us,100,On-EarHeadphones
B07SHH37M6,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",PeohZarr,5.5 x 3.1 x 2.7 ,2 Lithium ion batteries required.,2019-04-07,1.248,No,WGYP-063,HadinEEon Direct,17,On-EarHeadphones
B019U00D7K,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",cowin,6.54 x 1.97 x 7.13 ,1 Lithium Polymer batteries required.,2015-12-26,1.584,No,E7 Active Noise Cancelling,BOOM BOX,21,Over-EarHeadphones
B07MXGMWG7,"Kids Headphones for School, Jelly Comb Girls Lightweight Foldable Stereo Bass Kids Headphones with Microphone, Volume Control for Cell Phone, Tablet, Laptop, MP3/4(Green & Purple)- For Aged 6 or Above",Jelly Comb,6.73 x 4.92 x 2.99 ,,2019-01-18,1.12,No,7545865372,yanyan85,4,On-EarHeadphones
B08H5F8WN3,"Bluetooth 4.2 Headphones in Ear with Charging Case, Hands-Free Headset with Noise Cancellation Mic, 25 Hours Playback for iPhone and Android",DANUS,3.15 x 3.15 x 1.38 ,1 Lithium ion batteries required. (included),2020-09-24,0.5072,,P1,XuYiSu,4011,Earbud
B0863TXGM3,"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",Sony,7.27 x 3.03 x 9.94 ,1 Lithium Polymer batteries required. (included),2020-08-06,1.44,No,WH1000XM4/B,,13,Over-EarHeadphones
B08HMWZBXC,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, 40H Playtime, Fast Charge, Soft Earcups, Bluetooth Headphones, Travel",anker,7.68 x 7.09 x 3.07 ,1 Lithium Polymer batteries required. (included),2020-09-08,1.488,,A3028011,AnkerDirect,8,Over-EarHeadphones
B00004T8R2,Panasonic Headphones On-Ear Lightweight with XBS RP-HT21 (Black & Silver),Panasonic,36 x 6.7 x 0.5 ,1 Lithium ion batteries required.,2017-10-06,0.192,Yes,RP-HT21,,20,On-EarHeadphones
B0753GRNQZ,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless Headphones, Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout, Running, Gym Red",Mpow,4.06 x 4.06 x 2.28 ,1 Lithium ion batteries required. (included),2017-11-16,0.4512,No,BH088A-R1,LAYLTD,31,Earbud
B07MCCJ6VY,"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",VOGEK,2.76 x 1.97 x 0.67 ,,2019-01-10,0.816,No,WGYP,Sopownic US,21,On-EarHeadphones
B01EF5DBYM,AILIHEN C8 Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Chromebook Laptop Computer PC Mp3/4 (Grey/Mint),AILIHEN,7.7 x 6.9 x 3.3 ,,2016-04-18,1.024,No,C8,AILIHEN,62,On-EarHeadphones
B07ZRLM42Z,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone - Silver Blue",TUINYO,7.5 x 5 x 3.2 ,1 Lithium ion batteries required. (included),2019-10-30,1.632,,HW-816,TUINYO,75,Over-EarHeadphones
B00E4LGVUO,"Panasonic ErgoFit Earbud Headphones with Microphone and Call Controller Compatible with iPhone, Android and Blackberry - RP-TCM125-K - In-Ear (Black), Earpads S/M/L",Panasonic,7 x 2 x 2 ,,2013-08-15,0.256,No,RP-TCM125-K,,17,Earbud
B08K8LHD52,"Bluetooth Headphones, 40Hrs Wireless Over-Ear Headphones Deep Bass Audio with CVC 6.0 Mic for Kids Adults Travel Online Class Home Office",Beexcellent,6.93 x 5.67 x 3.62 ,3 Lithium ion batteries required. (included),2020-09-28,2.384,,,MX_ELECTRIC,296,Over-EarHeadphones
B07S7J1CGK,"Mpow Flame2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Running Headphones w/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting,Black",Mpow,3.5 x 3 x 1.5 ,,2019-02-09,0.4608,No,BH313AB-US01,MpowTech,64,Earbud
B07L1RQDJM,Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,VPB,6.3 x 3.2 x 0.7 ,,2018-12-01,0.6368,No,S12,VPB.,139,Earbud
B08H1WNYTR,Occiam Bluetooth Headphones-True Wireless Earbuds 48Hrs Playtime Earphones TWS Deep Bass Loud Voice Call Over Ear Waterproof with Microphone Smart LED Display for Sports Running Gaming Workout-Black,occiam,2.36 x 1.18 x 3.54 ,3 Lithium ion batteries required. (included),2020-08-31,0.8,,T17,TY DIRECT,18,Earbud
B08738D39L,"OneOdio Wired Over Ear Headphones-Noise Isolation, 3.5mm/6.35mm Jack, Professional Studio Monitor Recording & Mixing Stereo Headphones for Electric Guitar Drum Amp Keyboard Podcast",OneOdio US,8.2 x 8.2 x 4.3 ,,2020-04-14,1.05,,Hi-Fi studio,OneOdio Direct US,143,Over-EarHeadphones
B07HL1H93Y,"Riwbox Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",Riwbox,8 x 6 x 3 ,1 Lithium Polymer batteries required. (included),2018-09-22,2.096,No,CT-7,Hod friendly,42,Over-EarHeadphones
B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",Koss,8.44 x 2.13 x 6.38 ,,2012-01-04,0.384,No,KPH7,,41,On-EarHeadphones
B081JWVRJC,"Vogek Over Ear Wired Headphones with Microphone and Noise Isolating, Folding Lightweight Headsets with Deep Bass and Tangle-Free Cord for Cellphones Smartphones Laptop Computer Chromebook, Black",VOGEK,5.79 x 5.39 x 3.23 ,,2019-11-15,1.408,,,Sopownic US,45,Over-EarHeadphones
B07VDQHRGF,"4 Pairs Earbud Headphones with Remote & Microphone in Ear Earphone Stereo Sound Noise Isolating Tangle Free,Fits All 3.5mm Interface Device (Black+Silver+Gold+Pink)",GIEEU,6.3 x 3.2 x 0.7 ,,2019-07-19,0.3584,,S24,MEIHAO,451,Earbud
B0756CYWWD,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",Bose Corporation,3.2 x 6.7 x 7.1 ,1 LR44 batteries required. (included),2017-10-13,1.328,No,789564-0010,,19,Over-EarHeadphones
B07RSJX4KW,"Mpow CH8 Kids Headphones with Microphone 2 Pack, Wired On Ear Headphones for Kids with 91dB Volume Limit, Online Schooling Headsets with Sharing Splitter for Boys Girls Children School Travel",Mpow,7.17 x 5.91 x 3.43 ,,2019-03-05,1.648,,BH360A,MpowGlobal,11,On-EarHeadphones
B07C48ZYXR,"Mpow H7 Bluetooth Headphones, Comfortable Over Ear Wireless Headphones, HiFi Stereo Headset, Wireless Wired Mode, CVC6.0 Microphone for Kids, Adults, Cellphone, Online Class, Home Office, PC",Mpow,7.68 x 6.65 x 2.17 ,1 A batteries required. (included),2018-04-12,1.696,No,BH162A,Topyo Pro,20,Over-EarHeadphones
B087R2R8S6,"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound, Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Black",vankyo,7 x 8 x 3 ,1 Lithium Polymer batteries required. (included),2020-04-27,1.28,,JH-ANC805,Catfish Force,17,Over-EarHeadphones
B07WT15ZQF,"OneOdio A71 Wired Over Ear Headphones, Studio Headphones with SharePort, Professional Monitor Recording & Mixing Foldable Headphones with Stereo Sound for Electric Drum Keyboard Guitar Amp (Red)",OneOdio USA,6.65 x 5.63 x 4.06 ,,2019-08-21,2.192,,"Fusion Wired Over Ear Headphones,",OneOdio Direct US,44,Over-EarHeadphones
B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),noot products,5 x 4 x 2 ,,2017-07-24,1.28,No,k11,noot products,23,On-EarHeadphones
B08FSND2BR,"Wireless Bluetooth Earbuds with Mic, WSHDZ T7 Touch Control Waterproof Immersive Bass Stereo Noise Cancelling Headphones, Portable Charging Case with LED Display, Headset for Sports, Home, Work Black",WSHDZ,2.9 x 0.79 x 1.96 ,,2020-08-13,0.4064,No,,cxzjus,171,Earbud
B07TGTSKSH,"A12 Headphones Earphones Wired Earbuds with Microphone, Noise Islating, High Definition, Fits All 3.5mm Interface,Stereo for Samsung, iPhone,iPad, iPod and Mp3 Players (Black+White+Pink+Green 4pairs)",Dongguanqichendianzikejiyouxiangongsi,6.22 x 3.15 x 0.71 ,,2019-06-21,0.2304,,A12,YNR.,135,Earbud
B081RVTKKW,"Mpow 45Hrs Active Noise Cancelling Headphones, H17 Bluetooth Headphones with Microphone, Over Ear, Quick Charge, Deep Bass, Wired Wireless Headset for Kids, Adults, Travel, Online Class, Home Office",Mpow,3.3 x 6.1 x 4.9 ,2 Lithium ion batteries required.,2019-11-20,1.152,,BH381,MpowTech,34,Over-EarHeadphones
B078S7WK5M,"ARTISTE Wireless TV Headphones Over Ear Headsets - Digital Stereo Headsets with 2.4GHz RF Transmitter, Charging Dock, 100ft Wireless Range and Rechargeable 20 Hour Battery, Black",ARTISTE,1.97 x 3.15 x 1.97 ,2 AAA batteries required.,2018-01-03,0.3392,No,2018TVH03,O viola,7,Over-EarHeadphones
B07FXF7HXN,"Amazon Basics Lightweight On-Ear Wired Headphones, Black",Amazon Basics,7.13 x 2.85 x 7.07 ,,2018-12-12,0.848,,18P20BK,,110,On-EarHeadphones
B000AJIF4E,Sony MDR7506 Professional Large Diaphragm Headphone,,1 x 1 x 1 ,,2003-06-17,1.28,No,MDR7506,,29,Over-EarHeadphones
B07T89HB7R,"VPB Earbud Headphones with Remote & Microphone, in Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops (Mixed Color 4 Pairs)",VPB,6.34 x 3.19 x 0.87 ,,2019-07-11,0.3664,,,VPB.,584,Earbud
B08BF971WF,"POWMEE P10 Kids Headphones with Microphone Stereo Headphones for Children Boys Girls,Adjustable 85dB/94dB Volume Control Foldable On-Ear Headphone with Microphone for School/PC/Cellphone(Blue)",POWMEE,6.27 x 2.91 x 5.65 ,,2020-06-18,1.28,,P10,Powmee Direct,15,On-EarHeadphones
B07HL1QJSZ,"Kids Headphones, Riwbox CT-7S Cat Ear Bluetooth Headphones 85dB Volume Limiting,LED Light Up Kids Wireless Headphones Over Ear with Microphone for iPhone/iPad/Kindle/Laptop/PC/TV (Purple&Green)",Riwbox,3.15 x 2.76 x 1.18 ,1 Lithium Polymer batteries required. (included),2018-09-22,1.92,No,5823856030,Hod friendly,48,Over-EarHeadphones
B08NDHD638,"Wireless Earbuds,5.0 Bluetooth Headphones IPX5 Waterproof TWS Ear Buds Over Ear Sweatproof Headset Wireless Earphones with Mic & Charging Case 4 Hrs Workingtime for Work/Running/Travel/Gym (Black)",CHEERLINK,3.98 x 3.98 x 1.57 ,,2020-11-13,0.72,No,C17,Cheerlink US,2219,Earbud
B07RM4ZGH4,"Mpow Jaws Upgraded Gen5 Bluetooth Headphones 18H Playtime, V5.0 Wireless Neckband Headphones, Bluetooth Headset Magnetic Earbuds, Call Vibrate & CVC6.0 Noise Cancelling Mic, Black",Mpow,6.2 x 4.3 x 0.9 ,1 Lithium ion batteries required.,2019-05-08,0.192,,BH25-US03-B,MpowTech,83,Earbud
B07MF6QJBM,"POWMEE M1 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children (Blue)",POWMEE,7.1 x 2.8 x 5.9 ,,2019-01-03,1.344,No,M1,Powmee Direct,42,On-EarHeadphones
B07L6X8KFH,"Wholesale Bulk Earphone Earbud Headphone-Kaysent(KHP-10B) 10 Pack Wholesale Headphones for School,Airplane,Hospital,Students,Kids and Adults",Kaysent,8.4 x 5.8 x 4.6 ,,2018-08-13,1.75,No,KHP-10B,kaysent,876,Earbud
B0876349QT,APEKX Bluetooth Headphones True Wireless Earbuds with Charging Case IPX7 Waterproof TWS Stereo Sound Earphones Built-in Mic in-Ear Headsets Deep Bass for Sport Running Black,APEKX,3.9 x 2.44 x 1.2 ,2 Lithium Polymer batteries required.,2020-04-21,0.4192,No,BE1032bk,APEKX US,287,Earbud
B077YG22Y9,COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,cowin,8.27 x 7.56 x 2.48 ,1 Lithium ion batteries required. (included),2016-12-28,1.312,No,E7 PRO Active Noise Cancelling,Swtroom US,54,Over-EarHeadphones
B07RM8WQ8G,"Sony WHXB900N Noise Cancelling Headphones, Wireless Bluetooth Over the Ear Headset with Mic for Phone-Call and Alexa Voice Control- Black (WH-XB900N/B)",Sony,9.5 x 7.86 x 3.5 ,1 Lithium ion batteries required. (included),2019-06-25,1.44,No,WH-XB900N/B,,24,Over-EarHeadphones
B08QJ2GD6V,"True Wireless Earbuds,TWS Bluetooth 5.0 Headphones with Wireless Charging Case,Occiam Touch Control Hi-Fi Stereo Bluetooth Earphones with mic,Waterproof & 30H Playtime Headset for Sports Running Work",Occiam,2.13 x 1.93 x 1.06 ,1 Lithium ion batteries required. (included),2020-12-14,0.016,,,TY DIRECT,51,Earbud
B07L4JFR3Q,"Bulk Classroom Headphones (10 Pack) - On-Ear Premium Student Headsets: Perfect for Kids K-12 in Classrooms, Schools & Class Sets (Great Value, Durable, Noise Reducing, Comfortable Fit, Easy to Clean)",Barks,12.88 x 8.38 x 6.5 ,,2018-12-03,3.6,No,5962918113,Barks Tech,226,On-EarHeadphones
B08NZN8N3W,"Wireless Earbuds, Mpow M12 Bluetooth Earbuds, Wireless Charging & USB-C Charging Case Bluetooth Headphones Wireless Earphones w/Mic, Bass Sound/IPX8 Waterproof/Touch Control/25 Hrs/Dual Modes, Blue",Mpow,4.41 x 3.98 x 1.54 ,,2020-11-23,0.1024,,Mpow,LAYLTD,347,Earbud
B07HD23XGD,"Bluetooth Headphones, Riwbox XBT-880 Wireless Bluetooth Headphones Over Ear with Microphone and Volume Control Wireless and Wired Foldable Headset for iPhone/iPad/PC/Cell Phones/TV (Black&Gold)",Riwbox,7.3 x 6 x 3.6 ,1 Lithium Polymer batteries required. (included),2018-09-14,2.048,No,6598549360,Hod friendly,153,Over-EarHeadphones
B07HH1QSLB,"Amazon Basics In-Ear Wired Headphones, Earbuds with Microphone, Black",Amazon Basics,51.18 x 0.79 x 0.51 ,,2019-01-15,0.06784,,17E13BK,,178,Earbud
B08FT95LK2,TOZO T12 Wireless Earbuds Bluetooth Headphones Premium Fidelity Sound Quality Wireless Charging Case Digital LED Intelligence Display IPX8 Waterproof Earphones Built-in Mic Headset for Sport Blue,TOZO,4.69 x 4.57 x 1.81 ,1 Product Specific batteries required. (included),2020-08-13,1.296,,T12,Accumie,193,Earbud
B08FWNQD5C,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",Sonitum,8.98 x 6.5 x 2.83 ,,2020-08-13,1.408,,,Rely On Us,840,On-EarHeadphones
B08HN1S9D9,"Riwbox BN5 Bluetooth Headphones Over Ear, Folding Stereo Headphones Wired Wireless with Mic Compatible for iPhone/iPad/TV/PC/Online Class/Home Office (Black&Gold)",Riwbox,5.91 x 3.94 x 1.97 ,1 Lithium Polymer batteries required. (included),2020-09-08,1.92,,BN5,Hod friendly,1004,Over-EarHeadphones
B088LR8C8P,"Sleep Headphones Sleeping Headphones Bluetooth, Bluetooth Headband Headphones with Built-in Thin Speakers, Comfortable for Sleeping Running Yoga (Grey)",EverPlus,1.38 x 3.54 x 3.94 ,1 Lithium ion batteries required. (included),2020-05-13,0.5072,,SPH-SH,SPHealth,6,On-EarHeadphones
B08H4Y2S6B,"Tiksounds Bluetooth Earbuds, Noise Cancelling Headphones True Wireless Earbuds in Ear, IPX7 Waterproof Headphones 36H Playtime Mini Wireless Earphone",Tiksounds,2.48 x 1.65 x 1.18 ,3 Lithium ion batteries required.,2020-09-01,0.14512,No,Q12,Tiksounds,728,Earbud
B088F9BZJM,"Kids Headphones, Mpow CHE2 Wired Headphones for Kids Teens, Children Headphones with Volume Limit, Foldable Adjustable On-Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",Mpow,6.81 x 3.23 x 4.92 ,,2020-06-22,0.88,,BH428A,Topyo Pro,25,On-EarHeadphones
B00Q6P4CMA,"Sony MDREX15LP in-Ear Earbud Headphones, Black, Model Number: MDREX15LP/B",Sony,1.9 x 1.13 x 6.9 ,,2016-11-03,0.1296,No,MDREX15LP/B,,331,Earbud
B082TWSSTM,"Mpow Bluetooth Headphones, 60 Hours Playtime Wireless Headphones Over Ear with Microphone, Bluetooth 5.0, HiFi Stereo Sound, Protein Earpads, Wired Wireless Headset for Kids, Adults, Home Office, TV",Mpow,3.31 x 6.1 x 5 ,1 Lithium Polymer batteries required.,2019-12-16,1.584,,BH393A,AudioTech US,25,Over-EarHeadphones
B08CKVL7YH,"Earbuds, Vogek Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with S/M/L Eartips Compatible with Samsung, Android Phone and More-Gold",VOGEK,3.9 x 2.8 x 0.7 ,,2020-07-08,0.1296,,,Sopownic US,1109,Earbud
B00IT0IHOY,Sennheiser HD280PRO Headphone (new model),,9.64 x 7.36 x 3.3 ,1 Lithium Polymer batteries required.,2013-09-13,1.616,No,HD280PRO,,66,Over-EarHeadphones
B00I3LV3P4,Sony Foldable Headphones with Smartphone Mic and Control - Metallic Blue,Sony,0.39 x 0.39 x 0.39 ,,2014-05-01,0.72,No,MDRZX310APL.CE7,Aventis Systems,278,On-EarHeadphones
B07L12Y4SN,"Wholesale Bulk Headphones Earphones Earbuds - Kaysent(KHP-25Mixed) 25 Packs Mixed Colors(Each 5 Pack) Stereo Headphone for School, Classroom, Airplane, Hospiital, Students,Kids and Adults",Kaysent,8.03 x 7.91 x 7.8 ,,2018-04-08,4.02,No,KHP-25Mixed,kaysent,1896,Earbud
B07VP4L68P,Skullcandy Crusher ANC Personalized Noise Canceling Wireless Headphone - Black/Tan,Skullcandy,10.63 x 8.46 x 2.99 ,1 Lithium Polymer batteries required. (included),2019-09-11,2.2,,S6CPW-M373,,944,Over-EarHeadphones
B00HVLUR18,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black",,11.4 x 10 x 4.1 ,,2014-01-23,1.072,No,AUD ATHM20X,Knight Sound & Lighting (GoKnight),10,Over-EarHeadphones
B06XWG12QS,"Mpow 071 USB Headset/ 3.5mm Computer Headset with Microphone Noise Cancelling, Lightweight PC Headset Wired Headphones, Business Headset for Skype, Webinar, Cell Phone, Call Center",Mpow,7.87 x 6.81 x 2.17 ,,2017-03-25,1.232,No,PA071A,MpowGlobal,1,ComputerHeadsets
B08K97YC31,"3 Pack Lightning to 3.5 mm Headphone Jack Adapter, Apple MFi Certified iPhone Audio Dongle Cable Earphones Headphones Converter Compatible with iPhone 11/11 Pro/11 Pro Max/SE/X XR XS XS Max 8 7",Veetone,6.54 x 4.17 x 0.35 ,,2020-09-30,0.07888,,GT-FBA-002,Goegtuu,13,HeadphoneAdapters
B07PFV1NQX,"APPHOME [Upgrade] Foldable Headphone Stand Hanger Holder Aluminum Headset Soundbar Stand Clamp Hook Under Desk Space Save Mount Fold Upward Not in Use, Universal Fit Gaming Headphones, Black",APPHOME,4.06 x 2.48 x 1.54 ,,2019-03-07,0.5648,,APUS-APH-1201BK,Apphome Direct,3,HeadphoneStands
B08B8X4Q3M,"Jabra Evolve2 65 MS Wireless Headset with Link380a, Mono, Black – Wireless Bluetooth Headset for Calls and Music, 37 Hours of Battery Life, Passive Noise Cancelling Headphones",Jabra,8.58 x 7.48 x 2.13 ,1 Lithium ion batteries required. (included),2020-07-17,2.016,,26599-899-999,,901,On-EarHeadphones
B083ZVN4L9,"Sleep Headphones Bluetooth 5.0 Sleeping Headphones Headband 10H Music - Elastic Comfortable Wireless Headband Headphone for Side Sleeper, Gifts for Men Women Birthday Valentine's Day",EverPlus,10 x 4 x 0.47 ,1 Lithium ion batteries required. (included),2020-01-18,0.4672,,Bluetooth Sleep Headphones Headband,SPHealth,32,Over-EarHeadphones
